2212	316

28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28

1	80	159	238	317	396	475	554	633	712	791	870	949	1028	1107	1186	1265	1344	1423	1502	1581	1660	1739	1818	1897	1976	2055	2134
2	81	160	239	318	397	476	555	634	713	792	871	950	1029	1108	1187	1266	1345	1424	1503	1582	1661	1740	1819	1898	1977	2056	2135
3	82	161	240	319	398	477	556	635	714	793	872	951	1030	1109	1188	1267	1346	1425	1504	1583	1662	1741	1820	1899	1978	2057	2136
4	83	162	241	320	399	478	557	636	715	794	873	952	1031	1110	1189	1268	1347	1426	1505	1584	1663	1742	1821	1900	1979	2058	2137
5	84	163	242	321	400	479	558	637	716	795	874	953	1032	1111	1190	1269	1348	1427	1506	1585	1664	1743	1822	1901	1980	2059	2138
6	85	164	243	322	401	480	559	638	717	796	875	954	1033	1112	1191	1270	1349	1428	1507	1586	1665	1744	1823	1902	1981	2060	2139
7	86	165	244	323	402	481	560	639	718	797	876	955	1034	1113	1192	1271	1350	1429	1508	1587	1666	1745	1824	1903	1982	2061	2140
8	87	166	245	324	403	482	561	640	719	798	877	956	1035	1114	1193	1272	1351	1430	1509	1588	1667	1746	1825	1904	1983	2062	2141
9	88	167	246	325	404	483	562	641	720	799	878	957	1036	1115	1194	1273	1352	1431	1510	1589	1668	1747	1826	1905	1984	2063	2142
10	89	168	247	326	405	484	563	642	721	800	879	958	1037	1116	1195	1274	1353	1432	1511	1590	1669	1748	1827	1906	1985	2064	2143
11	90	169	248	327	406	485	564	643	722	801	880	959	1038	1117	1196	1275	1354	1433	1512	1591	1670	1749	1828	1907	1986	2065	2144
